n,bubble,selection,insertion,merge,quick,default,stream
0,8563,2419,2555,3278,2885,283346,8786517
50,410259,96404,40243,190100,22151,57370,152591
100,315498,205524,154373,313092,52376,78827,274530
150,836527,466643,131550,416734,119310,156299,273276
200,2182713,331302,192385,217847,265851,188907,322590
250,2508888,399331,284330,238012,117716,242544,372885
300,1050267,703722,518896,290972,58476,360384,511957
350,1070352,787389,415757,271234,56081,314853,372519
400,1414112,1239892,558370,383561,91010,309238,590907
450,1245763,1426798,885250,952535,110245,424405,518632
500,1817901,301194,744090,427083,87957,488164,924113
550,3311314,1309714,985880,534421,130404,600574,548561
600,1646595,476720,5796354,694225,185835,1040610,756445
650,2427257,686230,5550984,509868,149438,547475,561921
700,2318325,792815,5995449,662494,229741,848218,976299
750,2989071,767088,7695603,503815,126902,614475,653037
800,3363227,785170,3265615,379552,104497,388040,662181
850,3333822,995251,840530,687034,166013,365093,725955
900,3253557,1357644,1053686,465689,124315,336472,1119112
950,3207670,957036,1640133,1633162,109712,297843,760059
1000,4073147,1374043,1189823,1605303,174855,931451,720101
1050,6024492,1427258,1422932,1882318,150617,351154,752445
1100,6371439,1801329,1767258,2989980,170848,572306,572311
1150,7804206,2383382,2081496,2123474,207607,495723,881923
1200,6978683,2400587,2132491,2135630,198163,873028,1440806
1250,11379682,3226939,3745753,2892258,231089,544972,784404
1300,10537379,2864178,2492187,2047427,196758,486889,675541
1350,11895763,2808782,2858481,3824654,261093,664422,934525
1400,10403211,3530311,2864962,4090802,250850,1109444,952435
1450,15889844,5176378,3753177,4254999,261176,3984982,1315293
1500,17123518,3652926,3663988,3324309,276773,2544753,978102
1550,12608297,3543026,3052441,3981251,299171,2895024,1024419
1600,16418152,4707085,4515270,4497308,331510,1386860,1386264
1650,17958879,4707741,5025138,4040220,318548,1345799,935907
1700,14814668,4008484,3065724,3108073,244774,1501375,997798
1750,13942084,4092424,5262968,3431045,269897,1560462,1349779
1800,17153461,3112166,4555319,2483479,255385,817077,1384030
1850,15685465,3295913,4895413,3719850,236360,701958,620629
1900,28729596,9011069,8709441,6135246,444958,2540358,1212222
1950,27316448,9168994,6933600,4137089,368358,1618557,1323478
2000,23173931,9381124,7831693,4509984,395084,1671053,1059385
2050,28065398,7941526,7322085,4688540,374092,1683311,905248
2100,21753435,7530175,4607075,4433596,290001,1668330,953005
2150,18851799,7018849,6681459,4254686,277137,1450697,906872
2200,26476648,8780399,7958975,4902423,777420,2095246,964581
2250,35279890,6327585,8669926,4698601,478771,1709054,858684
2300,26290907,5322796,5940660,3172592,339244,2287218,859007
2350,26576671,8012970,6438107,3324293,404590,2572728,870773
2400,25559165,5787490,7333534,3546768,345020,2552837,1323280
2450,28171199,7369487,7007299,3922200,345984,2334570,946379
2500,29117857,6150108,5638382,5007634,359286,1663408,1059910
2550,28778341,7390020,6523250,3520644,373135,1863929,925864
2600,28058506,7460885,7013403,3950068,378458,1406523,704254
2650,31187538,9857361,8379062,3931367,361220,2305223,690641
2700,45230940,7936377,7322122,3164057,424859,2063593,698777
2750,35549283,10088446,9712649,3398477,445176,3684706,1389266
2800,43722362,13381297,23749218,6285075,557446,2528628,2387428
2850,55540858,10133729,8340171,1040209,395879,1848906,841890
2900,39163980,9453085,8189980,822966,399185,2036636,1156281
2950,37589126,8469626,7540567,927281,519474,1387137,1196200
3000,46823950,11347488,9358809,933813,438055,1643235,1505880
3050,56871785,9173438,7881378,908330,481796,959834,1110310
3100,58081148,11429145,10592628,962228,432418,1011565,912845
3150,50285031,10281590,9149995,947620,458756,1075658,1039277
3200,67253500,13886798,7138239,970909,440557,1422490,712820
3250,45815151,9102077,8578623,986604,488177,861894,688380
3300,45737340,9209714,8632946,885940,439156,772572,734175
3350,42365125,11326609,9260577,996491,459678,917383,965477
3400,56934006,11386599,9631845,958627,457143,651598,688074
3450,37544844,11832469,13134666,1997721,961321,812604,951104
3500,37003893,10413795,12589723,1425315,602978,787268,854406
3550,37244431,10185640,9907761,1072247,502908,908734,715751
3600,37729892,10431245,10213685,957322,463798,722437,686928
